key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
pleaseSignInToCreateASession,Translation key: pleaseSignInToCreateASession,,,,,,,,,,,,Please sign in to create a session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pleaseSignInToUploadABackground,Translation key: pleaseSignInToUploadABackground,,,,,,,,,,,,Please sign in to upload a background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollOptions,Translation key: pollOptions,የምርጫ አማራጮች,خيارات الاستطلاع,Опции за анкета,পোল অপশনস,[BN_BD] Poll Options,[BS] Poll Options,[CA] Poll Options,Možnosti ankety,Opsiynau arolwg,[DA] Poll Options,Umfrageoptionen,Poll Options,Opciones de encuesta,[ES_419] Poll Options,Hääletuse valikud,[EU] Poll Options,گزینه‌های نظرسنجی:,[FI] Poll Options,Poll Options,Options de sondage,Roghanna suirbhé,[GL] Poll Options,Zaɓuɓɓuka:,[HE] Poll Options,मतदान विकल्प:,Opcije ankete,Szavazási lehetőségek,[ID] Poll Options,[IS] Poll Options,[IT] Poll Options,[JA] Poll Options,[KO] Poll Options,[LT] Poll Options,Aptaujas opcijas,[MK] Poll Options,[MS] Poll Options,[MT] Poll Options,[NL] Poll Options,[NO] Poll Options,[PL] Poll Options,[PT] Poll Options,[PT_BR] Poll Options,[RO] Poll Options,[RU] Poll Options,[SK] Poll Options,[SL] Poll Options,[SQ] Poll Options,[SR] Poll Options,[SV] Poll Options,[TH] Poll Options,[TR] Poll Options,[UK] Poll Options,پول آپشنز:,[VI] Poll Options,投票选项,投票選項：
previous,Translation key: previous,ያለፈው,السابق,Предишен,পূর্ববর্তী,পূর্ববর্তী,[BS] Previous,[CA] Previous,Předchozí,[CY] Previous,[DA] Previous,Zurück,Previous,Anterior,[ES_419] Previous,[ET] Previous,Aurrekoa,قبلی,[FI] Previous,Áðra,Précédent,Roimhe seo,[GL] Previous,Previous,הקודם,पिछला,Prethodno,Előző,Sebelumnya,Fyrri,[IT] Previous,前へ,[KO] Previous,[LT] Previous,[LV] Previous,[MK] Previous,Sebelumnya,[MT] Previous,[NL] Previous,[NO] Previous,Poprzedni,[PT] Previous,[PT_BR] Previous,[RO] Previous,Предыдущий,Predchádzajúci,Prejšnji,[SQ] Previous,[SR] Previous,Föregående,ก่อนหน้า,Önceki,Попередній,Previous,Trước,上一步,Previous
privacyPolicy,Translation key: privacyPolicy,,,,,,,,,,,,Privacy Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
privacyRequestSent,Translation key: privacyRequestSent,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),,,Solicitud de privacidad enviada,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),درخواست حریم خصوصی به والدین شما ارسال شد!,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),Demande de confidentialité envoyée,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),An aika buƙatar sirri zuwa iyaye!,privacyRequestSent (TRANSLATE),आपकी गोपनीयता का अनुरोध आपके माता-पिता को भेजा गया है!,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),نجی سیشن کی درخواست والدین کو بھیج دی گئی!,privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE),privacyRequestSent (TRANSLATE)
privacyRequestSentToYourParents,Translation key: privacyRequestSentToYourParents,,,,,,,,,,,,Privacy request sent to your parents!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,Translation key: profile,መገለጫ,الملف الشخصي,Профил,প্রোফাইল,প্রোফাইল,[BS] Profile,Perfil,[CS] Profile,[CY] Profile,[DA] Profile,Profil,Profile,Perfil,[ES_419] Profile,[ET] Profile,[EU] Profile,پروفایل,[FI] Profile,Profile,Profil,Próifíl,[GL] Profile,Bayani,פרופיל,प्रोफ़ाइल,[HR] Profile,[HU] Profile,[ID] Profile,Aðgangur,[IT] Profile,プロフィール,프로필,[LT] Profile,[LV] Profile,[MK] Profile,[MS] Profile,[MT] Profile,[NL] Profile,[NO] Profile,[PL] Profile,[PT] Profile,Perfil,[RO] Profile,Профиль,[SK] Profile,[SL] Profile,[SQ] Profile,[SR] Profile,[SV] Profile,โปรไฟล์,[TR] Profile,Профіль,پروفائل,Hồ sơ,个人资料,個人資料
profile1,Translation key: profile1,,,,,,,,,,,,Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profileNotFound,Translation key: profileNotFound,,,,,,,,,,,,Profile not found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profileSaved,Translation key: profileSaved,,,,,,,,,,,,Profile saved!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promoAppliedYourNextBillIsFree,Translation key: promoAppliedYourNextBillIsFree,,,,,,,,,,,,Promo applied! Your next bill is free.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
providers,Translation key: providers,,,,,,,,,,,,Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pspecialtynpcontactinfo,Translation key: pspecialtynpcontactinfo,,,,,,,,,,,,{p_specialty}\n{p_contactInfo},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quickActions,Translation key: quickActions,ፈጣን እርምጃዎች,إجراءات سريعة,Бързи действия,কুইক অ্যাকশনস,দ্রুত ক্রিয়াকলাপ,[BS] Quick Actions,[CA] Quick Actions,Rychlé akce,Gweithredoedd cyflym,[DA] Quick Actions,Schnellaktionen,Quick Actions,Acciones rápidas,[ES_419] Quick Actions,[ET] Quick Actions,[EU] Quick Actions,اقدامات سریع,[FI] Quick Actions,Skjótar gerðir,Actions rapides,Gníomhartha tapa,[GL] Quick Actions,Quick Actions,פעולות מהירות,त्वरित क्रियाएं,Brze radnje,[HU] Quick Actions,[ID] Quick Actions,Hraðaðgerðir,[IT] Quick Actions,クイックアクション,[KO] Quick Actions,[LT] Quick Actions,[LV] Quick Actions,[MK] Quick Actions,[MS] Quick Actions,[MT] Quick Actions,Snelle acties,[NO] Quick Actions,Szybkie akcje,[PT] Quick Actions,Ações rápidas,Acțiuni rapide,Быстрые действия,Rýchle akcie,Hitre akcije,[SQ] Quick Actions,[SR] Quick Actions,Snabbåtgärder,การดำเนินการด่วน,Hızlı işlemler,Швидкі дії,Quick Actions,Hành động nhanh,快速操作,Quick Actions
rating,Translation key: rating,,,,,,,,,,,,Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readOnly,Translation key: readOnly,,,,,,,,,,,,Read Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readOurPrivacyPolicy,Translation key: readOurPrivacyPolicy,,,,,,,,,,,,Read our privacy policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readWrite,Translation key: readWrite,,,,,,,,,,,,Read & Write,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveBookingNotificationsViaEmail,Translation key: receiveBookingNotificationsViaEmail,,,,,,,,,,,,Receive booking notifications via email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveBookingNotificationsViaSms,Translation key: receiveBookingNotificationsViaSms,,,,,,,,,,,,Receive booking notifications via SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receivePushNotificationsForNewBookings,Translation key: receivePushNotificationsForNewBookings,,,,,,,,,,,,Receive push notifications for new bookings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recentGames,Translation key: recentGames,የቅርብ ጊዜ ጨዋታዎች,الألعاب الأخيرة,Последни игри,[BN] Recent Games,সাম্প্রতিক গেম,[BS] Recent Games,Jocs recents,Nedávné hry,Gemau diweddar,Seneste spil,Letzte Spiele,Recent Games,Juegos recientes,[ES_419] Recent Games,Hiljutised mängud,Azken jokoak,بازی‌های اخیر,Viimeisimmät pelit,Nýggjastu spøl,Jeux récents,Cluichí is déanaí,[GL] Recent Games,Recent Games,משחקים אחרונים,हाल के गेम,Nedavne igre,Friss játékok,Game terbaru,Nýlegir leikir,[IT] Recent Games,最近のゲーム,[KO] Recent Games,[LT] Recent Games,[LV] Recent Games,[MK] Recent Games,[MS] Recent Games,[MT] Recent Games,Recente spellen,Siste spill,[PL] Recent Games,[PT] Recent Games,Jogos recentes,Jocuri recente,Недавние игры,Nedávne hry,Nedavne igre,[SQ] Recent Games,[SR] Recent Games,Senaste spel,เกมล่าสุด,[TR] Recent Games,Останні ігри,Recent Games,Trò chơi gần đây,最近游戏,Recent Games
recipients,Translation key: recipients,ተቀባዮች,المستلمون,Получатели,গ্রাহক: {count},প্রাপকেরা,[BS] Recipients,[CA] Recipients,Příjemci,[CY] Recipients,Modtagere,Empfänger,Recipients: {count},Destinatarios,[ES_419] Recipients,Saajad,Hartzaileak,گیرندگان: {count},[FI] Recipients,Móttakarar,Destinataires,Faighteoirí,[GL] Recipients,Masu karɓa: {count},נמענים,प्राप्तकर्ता: {count},[HR] Recipients,Címzettek,Penerima,Móttakendur,[IT] Recipients,受信者,수신자,[LT] Recipients,Saņēmēji: {count},[MK] Recipients,Penerima,[MT] Recipients,[NL] Recipients,Mottakere,[PL] Recipients,[PT] Recipients,[PT_BR] Recipients,[RO] Recipients,Получатели,Príjemcovia,Prejemniki,[SQ] Recipients,[SR] Recipients,Mottagare,ผู้รับ,Alıcılar,Одержувачі,وصول کنندگان: {count},Người nhận,接收者,收件人：{count}
redirectingToStripeCheckoutForBasicPlan,Translation key: redirectingToStripeCheckoutForBasicPlan,,,,,,,,,,,,Redirecting to Stripe checkout for Basic plan...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redirectingToStripeCheckoutForProPlan,Translation key: redirectingToStripeCheckoutForProPlan,,,,,,,,,,,,Redirecting to Stripe checkout for Pro plan...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redo,Translation key: redo,እንደገና ሠርተው ይደርሱ,إعادة,Повторно,পুনরায় করুন,পুনরায় করুন,[BS] Redo,[CA] Redo,Znovu,Ailadrodd,Gentag,Wiederholen,Redo,Rehacer,[ES_419] Redo,Tee uuesti,[EU] Redo,تکرار,Tee uudelleen,Ger aftur,Rétablir,Déan arís,[GL] Redo,Redo,בצע שוב,दोहराएं,[HR] Redo,Újra,Ulangi,Endurtaka,Ripeti,やり直す,다시 실행,[LT] Redo,[LV] Redo,[MK] Redo,Ulang,[MT] Redo,Opnieuw doen,Gjør på nytt,Powtórz,Refazer,Refazer,Repetă,Повторить,Znova,[SL] Redo,[SQ] Redo,[SR] Redo,Gör om,ทำซ้ำ,[TR] Redo,Повторити,Redo,Làm lại,重做,Redo
referralCode,Translation key: referralCode,,,,,,,,,,,,Referral Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
referrals,Translation key: referrals,,,,,,,,,,,,Referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
referralsAmbassadorreferrals,Translation key: referralsAmbassadorreferrals,,,,,,,,,,,,Referrals: {ambassador_referrals},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refresh,Translation key: refresh,ዳግም ያዘምኑ,تحديث,Обновяване,রিফ্রেশ,রিফ্রেশ,[BS] Refresh,Actualitza,Obnovit,Adnewyddu,[DA] Refresh,Aktualisieren,Refresh,Actualizar,[ES_419] Refresh,Värskenda,[EU] Refresh,تازه‌سازی,Päivitä,Uppgera,Actualiser,[GA] Refresh,[GL] Refresh,Refresh,רענן,रिफ्रेश करें,Osvježi,Frissítés,Segarkan,Endurnýja,[IT] Refresh,更新,새로고침,[LT] Refresh,[LV] Refresh,[MK] Refresh,Segarkan,[MT] Refresh,Vernieuwen,[NO] Refresh,Odśwież,[PT] Refresh,[PT_BR] Refresh,Reîmprospătează,Обновить,Obnoviť,Osveži,[SQ] Refresh,[SR] Refresh,[SV] Refresh,รีเฟรช,Yenile,Оновити,Refresh,Làm mới,刷新,Refresh
refresh1,Translation key: refresh1,,,,,,,,,,,,Refresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registering,Translation key: registering,,,,,,,,,,,,Registering...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registrationFailedEtostring,Translation key: registrationFailedEtostring,,,,,,,,,,,,Registration failed: {e_toString},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reject,Translation key: reject,,,,,,,,,,,,Reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
removeChild,Translation key: removeChild,ልጅ አስወግድ,إزالة طفل,Премахни дете,শিশু সরান,শিশু অপসারণ করুন,[BS] Remove Child,[CA] Remove Child,Odstranit dítě,Tynnu plentyn,Fjern barn,Kind entfernen,Remove Child,Eliminar niño,[ES_419] Remove Child,Eemalda laps,Haurraren kentzea,حذف کودک,Poista lapsi,Strika barn,Supprimer l'enfant,[GA] Remove Child,[GL] Remove Child,Cire yaro,הסר ילד,बच्चे को हटाएं,[HR] Remove Child,Gyermek eltávolítása,Hapus anak,Fjarlægja barn,[IT] Remove Child,子供を削除,자녀 제거,[LT] Remove Child,Noņemt bērnu,[MK] Remove Child,Keluarkan anak,[MT] Remove Child,[NL] Remove Child,Fjern barn,Usuń dziecko,[PT] Remove Child,Remover membro,[RO] Remove Child,Удалить ребёнка,Odstrániť dieťa,Odstrani otroka,[SQ] Remove Child,[SR] Remove Child,[SV] Remove Child,ลบลูก,Çocuğu kaldır,Вилучити дитину,بچے کو ہٹائیں,Xóa trẻ em,移除子账户,移除孩童
reply,Translation key: reply,,,,,,,,,,,,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requestPrivateSession,Translation key: requestPrivateSession,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),,Request Private Session,Solicitar sesión privada,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),درخواست جلسه خصوصی,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),Demander une session privée,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),Buƙaci zaman sirri,requestPrivateSession (TRANSLATE),निजी सत्र का अनुरोध करें,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),نجی سیشن کی درخواست کریں,requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE),requestPrivateSession (TRANSLATE)
requestType,Translation key: requestType,የጥያቄ ዓይነት,نوع الطلب,Тип заявка,{type} অনুরোধ,অনুরোধের ধরন,[BS] Request Type,Tipus de sol·licitud,Typ požadavku,[CY] Request Type,[DA] Request Type,Anfragetyp,Request Type: {type},Tipo de solicitud,[ES_419] Request Type,[ET] Request Type,Eskari-mota,درخواست {type},Pyyntötyyppi,Biðja slag,Type de demande,[GA] Request Type,[GL] Request Type,Buƙatar {type},סוג בקשה,{type} अनुरोध,Vrsta zahtjeva,Kérés típusa,[ID] Request Type,Tegund fyrirspurnar,[IT] Request Type,リクエストタイプ,요청 유형,[LT] Request Type,Pieprasījuma veids,[MK] Request Type,[MS] Request Type,[MT] Request Type,Verzoektype,[NO] Request Type,Rodzaj żądania,[PT] Request Type,Tipo de solicitação,Tip cerere,Тип запроса,Typ požiadavky,Vrsta zahtevka,[SQ] Request Type,[SR] Request Type,[SV] Request Type,ประเภทคำขอ,İstek türü,Тип запиту,{type} درخواست,Loại yêu cầu,请求类型,{type} 請求
requireParentApproval,Translation key: requireParentApproval,,,,,,,,,,,,Require Parent Approval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requiresInstallFallback,Translation key: requiresInstallFallback,,,,,,,,,,,,Requires Install Fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolve,Translation key: resolve,,,,,,,,,,,,Resolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolved,Translation key: resolved,,,,,,,,,,,,Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
responseDetail,Translation key: responseDetail,,,,,,,,,,,,Response Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
responseIndex1,Translation key: responseIndex1,,,,,,,,,,,,Response #{index_1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restrictMatureContent,Translation key: restrictMatureContent,,,,,,,,,,,,Restrict mature content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retry,Translation key: retry,ድገም,أعد المحاولة,Опитай отново,পুনরায় চেষ্টা করুন,আবার চেষ্টা করুন,[BS] Retry,[CA] Retry,Zkusit znovu,[CY] Retry,Prøv igen,Wiederholen,Retry,Reintentar,[ES_419] Retry,Proovi uuesti,[EU] Retry,تلاش مجدد,Yritä uudelleen,Royna aftur,Réessayer,Féach arís,[GL] Retry,Retry,נסה שוב,पुनः प्रयास करें,[HR] Retry,Újrapróbálkozás,Coba lagi,Reyna aftur,Riprova,再試行,다시 시도,[LT] Retry,[LV] Retry,[MK] Retry,Cuba lagi,[MT] Retry,Opnieuw proberen,Prøv igjen,[PL] Retry,Tentar novamente,Repetir,Reîncearcă,Повторить попытку,Skúsiť znova,Poskusi znova,[SQ] Retry,[SR] Retry,Försök igen,ลองใหม่,Tekrar dene,Спробувати знову,Retry,Thử lại,重试,Retry
retry1,Translation key: retry1,,,,,,,,,,,,Retry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenue,Translation key: revenue,revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),Einnahmen,Revenue,Ingresos,revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),درآمد,revenue (TRANSLATE),revenue (TRANSLATE),Revenus,revenue (TRANSLATE),revenue (TRANSLATE),Kudaden shiga,revenue (TRANSLATE),राजस्व,revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE),آمدنی,revenue (TRANSLATE),revenue (TRANSLATE),revenue (TRANSLATE)
revoke,Translation key: revoke,እንደገና ሰርዝ,سحب,Отмяна,বাতিল করুন,প্রত্যাহার করুন,[BS] Revoke,Revoca,[CS] Revoke,Canslo,Tilbagekald,Widerrufen,Revoke,Revocar,[ES_419] Revoke,Tühista,[EU] Revoke,لغو,Kumoa,Strika,Révoquer,Cealaigh,[GL] Revoke,Cire,בטל,रद्द करें,[HR] Revoke,[HU] Revoke,[ID] Revoke,Afturkalla,[IT] Revoke,取り消す,취소,[LT] Revoke,[LV] Revoke,[MK] Revoke,[MS] Revoke,[MT] Revoke,[NL] Revoke,Tilbakekall,[PL] Revoke,[PT] Revoke,Revogar,Revocă,Отозвать,Odvolať,Razveljavi,[SQ] Revoke,[SR] Revoke,Återkalla,เพิกถอน,Geri al,Скасувати,منسوخ کریں,Thu hồi,撤销,撤銷
revokeAccess,Translation key: revokeAccess,መዳረሻ ይሰርዝ,سحب الوصول,Отмяна на достъп,অ্যাক্সেস বাতিল করুন,অ্যাক্সেস প্রত্যাহার করুন,[BS] Revoke Access,Revoca l'accés,[CS] Revoke Access,Canslo mynediad,Tilbagekald adgang,Zugriff widerrufen,Revoke Access,Revocar acceso,[ES_419] Revoke Access,Tühista juurdepääs,Sarbidea kentzea,لغو دسترسی,Kumoa oikeudet,Revoke Access,Révoquer l'accès,[GA] Revoke Access,[GL] Revoke Access,Cire izini,ביטול גישה,पहुंच रद्द करें,[HR] Revoke Access,[HU] Revoke Access,[ID] Revoke Access,Afturkalla aðgang,Revoca accesso,アクセスを取り消す,접근 권한 취소,[LT] Revoke Access,[LV] Revoke Access,[MK] Revoke Access,[MS] Revoke Access,[MT] Revoke Access,[NL] Revoke Access,Tilgang tilbakekalt,[PL] Revoke Access,Revogar acesso,Revogar acesso,Revocă acces,Отозвать доступ,Odvolať prístup,[SL] Revoke Access,[SQ] Revoke Access,[SR] Revoke Access,Återkalla åtkomst,เพิกถอนสิทธิ์,Erişimi geri al,Скасувати доступ,رسائی منسوخ کریں,Thu hồi quyền truy cập,撤销访问,撤銷存取權
revokeAccessConfirmation,Translation key: revokeAccessConfirmation,የመዳረሻ ሰረዝ እውቀት,تأكيد سحب الوصول,Потвърждение за отмяна на достъп,আপনি কি নিশ্চিত যে আপনি এই শিশুর অ্যাক্সেস বাতিল করতে চান? এটি পূর্বাবস্থায় ফেরানো যাবে না।,অ্যাক্সেস প্রত্যাহারের নিশ্চিতকরণ,[BS] Are you sure you want to revoke access?,[CA] Are you sure you want to revoke access?,Potvrzení odvolání přístupu,Cadarnhad canslo mynediad,Bekræft tilbagekaldelse,Zugriff widerrufen bestätigen?,Are you sure you want to revoke access?,¿Confirmar revocación de acceso?,[ES_419] Are you sure you want to revoke access?,[ET] Are you sure you want to revoke access?,Sarbide-ezgaitzearen berrespena,آیا مطمئن هستید که می‌خواهید دسترسی این کودک را لغو کنید؟ این عمل قابل بازگشت نیست.,Oikeuksien peruuttamisen vahvistus,Are you sure you want to revoke access?,Confirmer la révocation de l'accès ?,[GA] Are you sure you want to revoke access?,[GL] Are you sure you want to revoke access?,Kuna da tabbacin cire izinin wannan yaron? Wannan aikin ba za a iya maida shi ba.,אישור ביטול גישה,क्या आप वाकई इस बच्चे की पहुंच रद्द करना चाहते हैं? यह क्रिया पूर्ववत नहीं की जा सकती।,[HR] Are you sure you want to revoke access?,[HU] Are you sure you want to revoke access?,[ID] Are you sure you want to revoke access?,Staðfesta afturköllun aðgangs,[IT] Are you sure you want to revoke access?,アクセス取り消しの確認,접근 권한 취소 확인,[LT] Are you sure you want to revoke access?,[LV] Are you sure you want to revoke access?,[MK] Are you sure you want to revoke access?,[MS] Are you sure you want to revoke access?,[MT] Are you sure you want to revoke access?,[NL] Are you sure you want to revoke access?,[NO] Are you sure you want to revoke access?,[PL] Are you sure you want to revoke access?,[PT] Are you sure you want to revoke access?,[PT_BR] Are you sure you want to revoke access?,[RO] Are you sure you want to revoke access?,Подтверждение отзыва доступа,Potvrdenie odvolania prístupu,[SL] Are you sure you want to revoke access?,[SQ] Are you sure you want to revoke access?,[SR] Are you sure you want to revoke access?,Bekräfta återkallad åtkomst,ยืนยันการเพิกถอนสิทธิ์,[TR] Are you sure you want to revoke access?,Підтвердження скасування доступу,کیا آپ واقعی اس بچے کی رسائی منسوخ کرنا چاہتے ہیں؟ یہ عمل ناقابل واپسی ہے۔,Xác nhận thu hồi quyền truy cập,撤销访问确认,您確定要撤銷此孩童的存取權嗎？此操作無法還原。
revokeConsent,Translation key: revokeConsent,,,,,,,,,,,,Revoke Consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewards,Translation key: rewards,,,,,,,,,,,,Rewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roomAddedSuccessfully,Translation key: roomAddedSuccessfully,,,,,,,,,,,,Room added successfully!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roomDeletedSuccessfully,Translation key: roomDeletedSuccessfully,,,,,,,,,,,,Room deleted successfully!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
